Female_ID	Trt	Egg_mass	Laying_order
1	1	1.102695751	1
1	1	1.181612095	2
1	1	1.111551893	3
1	1	1.240300369	4
1	1	1.264474667	5
4	1	0.964969096	1
4	1	1.022325212	2
4	1	1.018515992	3
4	1	0.983049259	4
4	1	1.095659399	5
3	1	1.143593941	1
3	1	1.130847363	2
3	1	1.106140141	3
3	1	1.18507243	4
3	1	1.187960262	5
2	1	1.177246778	1
2	1	1.192057156	2
2	1	1.23707937	3
2	1	1.219853371	4
2	1	1.412113799	5
5	1	1.286996384	1
5	1	1.304684458	2
5	1	1.125135477	3
5	1	1.086481988	4
5	1	1.098353563	5
6	1	1.254733064	1
6	1	1.207503852	2
6	1	1.20377688	3
6	1	1.242062573	4
6	1	1.194272956	5
7	2	1.304393582	1
7	2	1.246541402	2
7	2	1.342567308	3
7	2	1.436527193	4
7	2	1.437985121	5
8	2	1.152154571	1
8	2	1.350963009	2
8	2	1.326717472	3
8	2	1.326673947	4
8	2	1.306903567	5
9	2	1.093505722	1
9	2	1.143756309	2
9	2	1.064880041	3
9	2	0.960095318	4
9	2	1.066186388	5
10	2	1.21770095	1
10	2	1.327913861	2
10	2	1.417543861	3
10	2	1.226554856	4
10	2	1.455291994	5
11	2	1.129215292	1
11	2	1.210467545	2
11	2	1.243749676	3
11	2	1.169665512	4
11	2	1.304502057	5
12	2	1.153706935	1
12	2	1.186076813	2
12	2	1.364527617	3
12	2	1.532826857	4
12	2	1.578042299	5
