Animal	ESR_10	Courtship_rate	Family_ID
1021	1	-3.184195337	B00950B06873
1032	0	-1.114845293	B00504B01175
1036	1	2.821410055	B06160B06308
1195	0	0.061920355	B01114B00926
1219	0	-1.536507475	B01482B01279
1243	1	1.236490665	B02401B01333
1267	0	3.539718541	B02182B00814
1271	1	0.268369022	B02182B00814
1301	0	2.057084468	B00877B00779
1312	0	-1.34373223	B01516B01333
1327	0	0.400517029	B00260B06511
1333	0	5.504742552	B02446B00774
1337	0	-2.85055699	B00459B01214
1342	1	1.507500892	B01516B01333
1345	0	-3.26733591	B00459B01214
1356	0	-0.804997364	B06391B00847
1357	0	-2.595755602	B06391B00847
1363	1	0.428696025	B01019B01279
1379	2	-0.778849614	B01131B00650
1384	0	-0.415831242	B00514B01255
1385	2	-0.222459641	B00514B01255
1386	0	4.462113196	B02446B00774
1400	0	1.265462834	B00514B01255
1451	0	-3.862403618	B01516B01260
1458	0	-3.939746356	B01516B01260
1459	0	0.429979247	B01516B01260
1463	0	-1.553909429	B00260B01159
1472	1	-0.427727581	B02422B01363
1484	0	2.511767054	B00840B00847
1501	0	-3.180714661	B00567B01260
1533	1	1.023828915	B01485B01150
1536	0	-3.316720567	B02601B00926
1541	0	-2.111781237	B02601B00926
1551	0	-1.670816304	B02433B01390
1558	0	2.500416531	B00436B01055
1585	0	2.459092542	B02543B00394
1599	0	4.497553944	B02446B00408
1603	0	-1.174838307	B06256B00198
1608	0	1.021333508	B06451B06872
1617	0	-2.250631793	B00367B00928
1621	0	-0.425048319	B01523B01363
1627	0	1.241052956	B02599B00399
1633	0	0.034597416	B02599B00399
1641	0	-1.344769208	B02599B00399
1642	0	1.205337661	B02526B01432
1646	0	1.508286869	B02599B00399
1664	0	2.45527117	B02595B00408
1668	2	-0.268251102	B01485B01154
1686	0	-3.882743174	B02601B00779
1968	0	0.751525039	B01486B01279
2006	0	0.435662521	B00405B01175
2019	1	2.582086401	B02659B01267
2029	0	1.643040481	B02733B01154
2032	0	1.921405795	B02733B01154
2065	0	-0.580773217	B00448B06240
2066	0	-0.470130294	B00448B06240
2068	1	1.402484555	B00213B00912
2069	2	0.732963713	B00213B00912
2072	0	2.278378472	B00488B06035
2073	1	1.739675263	B00889B06441
2075	0	-3.936878064	B01173B00904
2081	0	0.256312616	B02476B00408
2082	0	-0.523130995	B02476B00408
2083	0	0.906175906	B02476B00408
2085	0	-2.297255102	B00287B00674
2086	0	-1.934007431	B00448B06240
2088	0	1.033789044	B05769B05744
2089	0	0.381475862	B05769B05744
2095	0	1.759202247	B00327B01027
2096	1	1.004171677	B00889B06441
2100	0	-3.960796101	B00327B01027
2103	1	-1.523466208	B00327B01027
2110	0	0.029060429	B00649B06473
2119	0	0.505704909	B06360B01180
2123	0	-3.92455412	B00513B00408
2124	0	1.423746818	B06360B01180
2127	1	-2.296198821	B02611B01267
2141	2	-3.95268261	B02611B01267
2149	0	-0.58812835	B00973B06537
2152	1	-3.067817809	B00461B00960
2153	1	2.807818098	B00461B00960
2171	0	1.328668669	B01205B06408
2176	1	-0.062322011	B00939B06033
2178	0	-1.982769514	B08003B08004
2193	1	1.146179732	B02684B05980
2195	0	2.697837394	B02433B01432
2198	0	0.18953275	B00564B01139
2225	0	1.463546538	B01205B00614
2226	0	-2.216024943	B01205B00614
2232	0	-1.076951653	B06405B06441
2234	0	1.858806671	B00267B06044
2236	0	2.109928006	B00609B06512
2237	0	2.433601249	B00709B06356
2238	0	1.076590082	B00709B06356
2240	0	0.629735998	B00709B06356
2247	0	-0.072056961	B00436B01055
2250	0	-0.950032293	B00436B01055
2252	0	0.371041029	B06160B06001
2255	1	1.298664469	B01392B00175
2256	0	-0.552903328	B06281B02410
2258	0	3.84303546	B00262B00928
2262	1	1.154567938	B01392B00175
2266	0	-2.558481526	B00344B00814
4125	0	0.439932197	AA2146AA2195
4126	0	3.22518796	AA1615AA2153
4129	0	2.273886129	AA2146AA2195
4133	0	-1.880124661	AA2245AA2100
4134	0	-2.715380736	AA2245AA2100
4135	0	-0.750309059	AA2245AA2100
4136	0	1.246716959	AA2269AA1356
4137	1	-2.853733763	AA1457AA1243
4138	0	0.989502563	AA1571AA1585
4139	0	-1.447185556	AA1672AA2075
4140	0	-1.169778004	AA1672AA2075
4141	0	-2.598390982	AA2263AA2237
4147	1	0.027773792	AA2143AA2088
4149	0	-2.417198113	AA1489AA1603
4150	1	0.088081943	AA1437AA1451
4151	0	-1.778618139	AA1654AA2232
4152	0	1.911224945	AA2245AA2100
4157	0	-1.941849139	AA2263AA2237
4158	0	-0.677405025	AA2263AA2237
4159	0	-2.320928851	AA1439AA1459
4163	0	-2.811943521	AA1571AA1585
4164	2	1.878344851	AA1544AA1472
4165	0	-0.388356686	AA2143AA2088
4167	0	-1.906905508	AA2239AA2252
4168	0	-2.137754445	AA1604AA1501
4169	0	-2.762603562	AA1456AA1384
4170	0	1.409665012	AA1604AA1501
4172	0	1.63471496	AA2071AA2178
4176	1	-0.769712861	AA1544AA1472
4178	0	0.268816296	AA2246AA2234
4179	0	-2.819466256	AA2245AA2100
4180	0	-1.727688331	AA2263AA2237
4182	0	-0.644403024	AA1489AA1603
4183	1	0.926817218	AA2143AA2088
4184	1	-1.793721687	AA1457AA1243
4185	1	-2.104696852	AA1457AA1243
4186	0	-1.79034887	AA1489AA1603
4188	0	-0.0981933	AA1527AA1219
4196	1	-0.152571466	AA1457AA1243
4197	0	-0.763356888	AA1425AA1337
4201	1	-1.737952811	AA1457AA1243
4204	0	-0.307638429	AA1604AA1501
4206	0	3.948277404	AA2071AA2178
4210	0	0.892614347	AA1527AA1219
4211	0	-0.045101651	AA1425AA1337
4212	0	-0.444479442	AA2271AA2225
4221	0	-0.933658564	AA2120AA2247
4239	1	3.3443347	AA1572AA1301
4244	0	0.896485813	AA1427AA1558
4245	0	0.582573712	AA1442AA1627
4248	0	1.786554648	AA2111AA2072
4255	0	0.447964939	AA1652AA2171
4257	0	-0.930195809	AA1442AA1627
4260	0	-0.467131476	AA1523AA1333
4261	1	-0.294415214	AA1503AA1379
4273	1	3.230347293	AA2244AA2141
4275	0	-2.252140106	AA1654AA2232
4285	1	-2.847780273	AA2244AA2141
4291	0	1.563673397	AA1571AA1585
4292	0	2.784361414	AA1571AA1585
4293	0	1.316850616	AA1571AA1585
4294	0	2.151835469	AA1457AA1243
4297	0	-0.269621176	AA2269AA1356
4301	2	-0.52747385	AA1457AA1243
4303	0	-0.250075004	AA1544AA1472
4304	0	0.375815887	AA1425AA1337
4305	0	0.192901983	AA1425AA1337
4307	0	-2.957252057	AA2267AA2086
4312	1	0.065361517	AA1544AA1472
4313	1	0.800874049	AA2253AA2069
4314	0	-2.29093706	AA1456AA1384
4315	1	-0.62392591	AA2253AA2069
4316	1	0.518642217	AA2253AA2069
4319	0	0.288185875	AA1425AA1337
4334	0	-1.511722462	AA2144AA2085
4336	0	-2.824158518	AA1439AA1459
4337	0	-0.239242464	AA2269AA1356
4338	0	-2.383950244	AA2144AA2085
4346	1	2.566135554	AA1544AA1472
4348	1	1.760648176	AA2244AA2141
4349	0	0.845867099	AA1654AA2232
4350	0	-2.826804868	AA2267AA2086
4356	0	-2.821730785	AA2146AA2195
4364	0	-2.340150407	AA1544AA1472
4365	1	2.860571263	AA1544AA1472
4370	0	0.55419048	AA1654AA2232
4371	0	-1.150204671	AA2267AA2086
4377	0	4.051773127	AA1654AA2232
4378	0	0.388277337	AA1654AA2232
4379	0	-2.307271234	AA2071AA2178
4380	1	2.002152959	AA1613AA1363
4382	2	2.690306267	AA1613AA1363
4384	1	-0.287663347	AA1437AA1451
4386	1	-2.641147917	AA1503AA1379
4387	0	0.900165996	AA2071AA2178
4389	2	0.828328847	AA1613AA1363
4390	1	1.901223775	AA1437AA1451
4391	1	-1.198816197	AA1503AA1379
4395	1	1.165950651	AA2244AA2141
4397	0	-2.930645925	AA2071AA2178
4398	1	2.169947923	AA1437AA1451
4401	0	0.792230996	AA2071AA2178
4403	0	-2.953060369	AA2245AA2100
4406	1	-2.875235236	AA2244AA2141
4408	0	-1.461966219	AA2245AA2100
4409	0	-1.490579276	AA2263AA2237
4411	1	2.025459932	AA1437AA1451
4416	0	1.652477663	AA1672AA2075
4417	1	2.258423855	AA2244AA2141
4418	0	2.102774637	AA1672AA2075
4420	0	-2.364922301	AA1437AA1451
4422	0	1.530881478	AA2143AA2088
4424	0	1.30100156	AA2245AA2100
4425	1	-2.962694505	AA1503AA1379
4426	0	0.371453153	AA2263AA2237
4429	0	-2.395500933	AA2263AA2237
4430	0	1.71965972	AA1457AA1243
4431	1	0.103841102	AA2246AA2193
4432	0	-2.349321732	AA1672AA2075
4437	1	3.986799939	AA2244AA2141
4440	0	-0.947336972	AA1604AA1501
4443	0	-2.353903329	AA1672AA2075
4445	1	-2.955694417	AA2244AA2141
4446	0	1.252246031	AA1527AA1219
4447	0	-1.710331965	AA1457AA1243
4448	0	-0.645684631	AA2246AA2193
4449	0	2.493632703	AA1439AA1459
4450	0	0.245327221	AA1672AA2075
4452	0	-0.97733488	AA1604AA1501
4456	0	-0.856474506	AA1652AA2171
4457	1	2.866454942	AA2222AA2149
4458	0	0.040560274	AA1604AA1501
4460	0	2.07782556	AA1480AA1617
4461	0	4.268208293	AA1652AA2171
4462	0	1.907816492	AA1442AA1627
4466	0	1.950066174	AA2156AA2240
4468	0	1.758803808	AA1523AA1333
4469	0	-1.603629141	AA1442AA1627
4470	0	2.58450091	AA1613AA1363
4473	0	1.443656546	AA1442AA1627
4476	0	2.912444522	AA2156AA2240
4477	1	3.340052217	AA1572AA1301
4480	0	2.051168013	AA1442AA1627
4483	0	0.045539099	AA1427AA1558
4484	1	-0.322829576	AA1503AA1379
4487	0	1.929716845	AA1523AA1333
