Exploration_score	Latency
-1	4
1.025851538	9
1.074311743	10
-0.666928363	12
0.567831566	13
-0.442847956	13
-0.32652429	14
0.869224312	17
-0.053927211	20
1.490640924	20
0.180139599	21
0.115977972	23
1.014285125	23
0.44475921	24
-0.154486048	26
-0.547744213	26
-0.079771123	26
-0.299770025	30
-1.219445198	32
0.662317008	33
-0.401629545	33
-1.191401692	34
-0.409760085	35
0.672388625	35
-1.09703244	35
1.048005832	43
-0.914087796	47
0.6361505	47
-0.652593368	48
0.854164545	49
-0.52466242	52
-1.360117516	53
0.53495068	56
-1.261699341	63
-0.663543033	71
-0.858431498	71
0.731734169	77
0.980373533	78
0.170805886	82
-0.136766177	87
0.03915345	89
-0.201366624	95
-0.962113119	96
1.433419004	105
1.478363085	105
1	106
-1.546242406	106
-0.884600317	107
-0.286594874	107
1.272212341	112
-1.314181082	116
-0.431461879	118
-0.630004816	120
-0.870666068	122
0.188493751	123
0.105837981	128
-0.801666743	136
0.264397912	146
0.379003153	146
-0.907072182	153
-1.145128598	170
-0.221908364	175
-1.303748661	196
-0.602328699	199
0.156942256	231
0.742812402	287
1.729526563	322
-1.122151266	344
-0.5	444
-1	559
