Animal	FID	MID
200075	0	0
200076	0	0
200175	0	0
200191	0	0
200198	0	0
200213	0	0
200220	0	0
200260	0	0
200262	0	0
200267	0	0
200272	0	0
200287	0	0
200327	0	0
200344	0	0
200356	0	0
200367	0	0
200374	0	0
200394	0	0
200399	0	0
200405	0	0
200408	0	0
200436	0	0
200448	0	0
200459	0	0
200461	0	0
200486	0	0
200488	0	0
200504	0	0
200513	0	0
200514	0	0
200517	0	0
200556	0	0
200564	0	0
200567	0	0
200602	0	0
200609	0	0
200614	0	0
200638	0	0
200649	0	0
200650	0	0
200674	0	0
200709	0	0
200774	0	0
200779	0	0
200814	0	0
200840	0	0
200847	0	0
200848	0	0
200870	0	0
200877	0	0
200889	0	0
200904	0	0
200912	0	0
200926	0	0
200928	0	0
200939	0	0
200950	0	0
200960	0	0
200973	0	0
200975	0	0
201000	0	0
201013	0	0
201019	0	0
201027	0	0
201055	0	0
201114	0	0
201131	0	0
201139	0	0
201148	0	0
201150	0	0
201154	0	0
201156	0	0
201159	0	0
201173	0	0
201175	0	0
201180	0	0
201205	0	0
201214	0	0
201255	0	0
201260	0	0
201267	0	0
201279	0	0
201329	0	0
201333	0	0
201340	0	0
201363	0	0
201390	0	0
201392	0	0
201432	0	0
201482	0	0
201485	0	0
201486	0	0
201498	0	0
201516	0	0
201523	0	0
202028	0	0
202182	0	0
202338	0	0
202374	0	0
202401	0	0
202410	0	0
202418	0	0
202422	0	0
202433	0	0
202446	0	0
202459	0	0
202469	0	0
202476	0	0
202521	0	0
202524	0	0
202526	0	0
202541	0	0
202543	0	0
202545	0	0
202595	0	0
202599	0	0
202601	0	0
202611	0	0
202659	0	0
202684	0	0
202733	0	0
202768	0	0
202770	0	0
205744	0	0
205769	0	0
205793	0	0
205980	0	0
205991	0	0
206001	0	0
206006	0	0
206014	0	0
206031	0	0
206033	0	0
206035	0	0
206044	0	0
206160	0	0
206168	0	0
206240	0	0
206256	0	0
206281	0	0
206308	0	0
206356	0	0
206360	0	0
206391	0	0
206405	0	0
206408	0	0
206441	0	0
206451	0	0
206473	0	0
206502	0	0
206511	0	0
206512	0	0
206537	0	0
206872	0	0
206873	0	0
208001	0	0
208002	0	0
208003	0	0
208004	0	0
1021	200950	206873
1032	200504	201175
1036	206160	206308
1195	201114	200926
1219	201482	201279
